epoch,cost,w0,w1,w2,h00,h01,h10,h11
1,0.5856777655840516,-0.5061762892722519,-0.2515826618400978,0.40058809423865294,0.3760903194654011,0.4736274486954078,0.3191330198038292,0.4116445938206733
2,0.3287275482843356,-0.42250842310572606,0.21933272791666242,0.7491671338685162,0.3959166626028019,0.5809461683030638,0.4493800905354033,0.6332050750622944
3,0.16227393150921351,-0.5454562929567384,0.5516432985773942,0.9689186860980519,0.3669192248186497,0.6043114725538924,0.5015467464711698,0.7261359998835409
4,0.11450303943109555,-0.7636138127415791,0.780949748622979,1.107715573546026,0.3178621830761094,0.5851865443229222,0.5043338754309074,0.7549245169317359
5,0.09836832139875078,-0.9899860178169861,0.9651989757079293,1.2130543929964759,0.27091483940248506,0.5555369934694678,0.4938035567260694,0.7664310381060128
6,0.08969478251279225,-1.2008996359730733,1.1249086092788865,1.3027065658565526,0.23131521492586737,0.5254297720381693,0.481011380144662,0.7732431998609858
7,0.08348029386708888,-1.3936008298438625,1.2668862552705829,1.3834653356053592,0.1988335270329318,0.4974661481318497,0.468363675972464,0.7784662623099695
8,0.07846053033070703,-1.5700201656347286,1.3943086961124989,1.4585357010216176,0.17221351698221676,0.4721577150247713,0.4561848057462572,0.7829301396003298
9,0.07419526144524821,-1.73258847487287,1.5093342491505144,1.529706427708066,0.15025678480905366,0.4494527511845808,0.4444171175981366,0.7869188753261394
10,0.07047035272331367,-1.8833986090385204,1.6137124005341217,1.598032225999076,0.13199898979074853,0.429138629747846,0.43298413201048164,0.7905669150781671
11,0.06715730786929754,-2.024131889141529,1.7089338640748757,1.6641254213031103,0.11669242017690484,0.41095800026094126,0.4218464696337359,0.7939542152871907
12,0.06417063860134363,-2.1561265345062286,1.7962788977734014,1.7283247294909079,0.10376010784838428,0.3946513622126545,0.4109964492921476,0.7971339935589619
13,0.061450224564001434,-2.2804552916011236,1.876842960680562,1.790804860378074,0.09275463267312124,0.37997592058428453,0.4004447487998405,0.8001436682128894
14,0.05895219651539748,-2.3979887459760207,1.9515575957320301,1.8516478765485926,0.08332619329924096,0.366713771185548,0.39020962633243306,0.8030103994425343
15,0.056643615698504506,-2.5094433229927553,2.021210398227887,1.9108881439310852,0.07519881384763973,0.35467431555611667,0.38030993368451527,0.8057543335602083
16,0.05449914354431645,-2.6154169258971005,2.0864643910052663,1.9685393983717634,0.06815277991312302,0.34369352392769115,0.37076122575618153,0.8083906667290413
17,0.052498857091672436,-2.7164152723494377,2.147876301185006,2.0246101230089253,0.06201164918088696,0.3336316291688242,0.3615740179317137,0.8109310320896661
18,0.050626767575228396,-2.8128714064765408,2.2059132211404693,2.0791115630522556,0.056632579526461266,0.3243701985434982,0.35275338882327717,0.8133844682126684
19,0.048869792228242386,-2.9051602536775722,2.26096734516249,2.132061283994077,0.051899062039471366,0.31580911846445436,0.34429934268699247,0.8157581118189046
20,0.04721702900069587,-2.9936095845198536,2.3133686917823777,2.1834841607236815,0.04771540718987955,0.3078637692915324,0.3362075399533838,0.8180576999729136
21,0.04565923884142921,-3.0785083727010285,2.363395883563946,2.2334119857923223,0.044002519972998526,0.3004625128856579,0.3284701527219188,0.8202879363269371
22,0.044188472485776856,-3.1601132518399933,2.411285153641205,2.28188242051879,0.04069463215057158,0.2935445282223009,0.32107670596097115,0.8224527585881959
23,0.04279779883983375,-3.238653574052565,2.4572377940045875,2.3289377122993167,0.037736752437375606,0.287057984240341,0.3140148332906139,0.8245555336443359
24,0.041481105249368655,-3.314335429651752,2.50142627099948,2.374623412304863,0.03508266063222195,0.2809585174078289,0.3072709183282198,0.8265991996189294
25,0.040232948880177366,-3.3873448857759225,2.5439992228124915,2.418987211859338,0.03269331777109793,0.27520797363416005,0.3008306169302339,0.8285863690639609
26,0.039048444615054856,-3.4578506301428042,2.585085532127658,2.4620779471482113,0.03053559727184451,0.2697733737159149,0.2946792685382744,0.830519403789646
27,0.03792317918815743,-3.5260061555927136,2.624797641330263,2.5039447830506916,0.02858126576312965,0.2646260646868636,0.2888022106499497,0.8324004690770918
28,0.03685314430546638,-3.591951585297004,2.6632342516129537,2.544636566368135,0.026806159585381874,0.2597410241027585,0.2831850121352005,0.8342315729640852
29,0.03583468362714581,-3.655815213018225,2.700482523236839,2.584201329169603,0.025189515692952802,0.2550962892645841,0.27781364059422936,0.8360145947646782
30,0.03486444998151552,-3.7177148145146166,2.7366198729788764,2.6226859197445935,0.023713425168178905,0.2506724880837132,0.2726745773593093,0.8377513058505102
31,0.0339393702291015,-3.7777587729312336,2.771715446714906,2.6601357388711255,0.022362384679589443,0.24645245246191175,0.2677548917558731,0.8394433848878008
32,0.03305661593135157,-3.8360470513226628,2.805831330021233,2.696594561043357,0.02112292661195435,0.24242089862156932,0.26304228423020504,0.8410924291133294
33,0.03221357849565635,-3.892672038275269,2.839023547318056,2.732104422945244,0.019983312716132202,0.23856416179284923,0.25852510610793905,0.8426999627878756
34,0.031407847832089414,-3.9477192872221543,2.8713428900498315,2.766705564239801,0.01893327929618701,0.23486997510343346,0.2541923621468325,0.8442674436429277
35,0.03063719381394112,-4.001268165970226,2.9028356063236203,2.800436408372246,0.017963824405826896,0.2313272844971121,0.25003370070569003,0.8457962679033044
36,0.029899550015970427,-4.053392429833652,2.933543977959872,2.8333335734242566,0.017067029438995514,0.22792609310427006,0.24603939525436522,0.847287774300372
37,0.02919299933384227,-4.104160729342074,2.9635068057487914,2.865431905061389,0.016235908998656796,0.22465732976878172,0.24220032006898737,0.8487432473699189
38,0.02851576118117581,-4.153637061587234,2.9927598195941516,2.896764525291089,0.01546428410924027,0.22151273746139033,0.23850792225911518,0.8501639202423366
39,0.027866180027895773,-4.201881172759728,3.0213360269544625,2.9273628921234955,0.014746674773960333,0.2184847781293762,0.23495419172738896,0.8515509770710489
40,0.0272427150927795,-4.248948918215149,3.049266010387478,2.9572568663399936,0.014078208622940933,0.2155665511873836,0.23153163023860615,0.8529055552011737
41,0.026643931039496926,-4.294892585427198,3.076578182930161,2.9864747824654723,0.013454542993469147,0.21275172337812343,0.2282332204492119,0.8542287471492084
42,0.026068489552761503,-4.339761184383466,3.1032990083924794,3.015043521747479,0.012871798261778124,0.21003446815116975,0.225052395499401,0.8555216024424799
43,0.02551514169200458,-4.383600709319208,3.129453192322208,3.0429885855025605,0.012326500631231755,0.2074094130446512,0.2219830095815591,0.856785129351588
44,0.02498272093608477,-4.426454375136497,3.1550638483402005,3.070334167625991,0.011815532893826705,0.20487159382535516,0.2190193097571767,0.858020296538237
45,0.024470136845197592,-4.468362831398425,3.180152643696625,3.0971032253999615,0.011336091935495608,0.20241641436108768,0.21615590918894126,0.8592280346333244
46,0.023976369276278192,-4.5093643564032435,3.2047399272153982,3.123317547997028,0.010885651962507365,0.20003961137575677,0.21338776187706648,0.8604092377550092
47,0.023500463096417158,-4.549495033518019,3.2288448422424634,3.148997822276384,0.010461932595537399,0.197737223381001,0.2107101389324788,0.8615647649729802
48,0.02304152334560102,-4.58878891167497,3.2524854267668974,3.174163695623299,0.010062871117011365,0.19550556319493168,0.20811860637914806,0.8626954417228342
49,0.022598710805774375,-4.62727815169762,3.275678702520876,3.1988338356973154,0.009686598271894898,0.19334119355398974,0.2056090044496897,0.8638020611729629
50,0.022171237938041485,-4.664993159921468,3.298440754568628,3.223025987040754,0.009331417116817292,0.19124090540221186,0.2031774283193468,0.8648853855454117
51,0.021758365153952835,-4.7019627103996235,3.320786802652348,3.246757024562282,0.008995784490963754,0.18920169850667337,0.2008202102112416,0.8659461473916275
52,0.021359397390402744,-4.7382140568332565,3.342731265364204,3.2700430039559434,0.008678294747506353,0.18722076410117358,0.1985339027986055,0.8669850508237058
53,0.02097368096078035,-4.773773035236107,3.3642878180496374,3.2928992091481315,0.008377665438850506,0.1852954693044605,0.1963152638261882,0.8680027727016385
54,0.020600600657757505,-4.808664158228727,3.385469445211555,3.3153401968867655,0.008092724694575868,0.183423343096135,0.19416124187219191,0.8689999637770353
55,0.020239577085520093,-4.842910701759045,3.406288488072363,3.337379838600787,0.007822400069208927,0.18160206366418274,0.1920689631730888,0.8699772497938483
56,0.019890064201395774,-4.876534784959115,3.4267566878568783,3.3590313596660337,0.007565708669148879,0.17982944696394407,0.1900357194359886,0.8709352325467082
57,0.01955154704874826,-4.909557443771941,3.4468852252805906,3.380307376217075,0.007321748395213198,0.1781034363501181,0.18805895656638308,0.8718744908975798
58,0.01922353966471499,-4.941998698915383,3.466684756661705,3.401219929644798,0.007089690160223444,0.17642209316182192,0.1861362642427863,0.8727955817515486
59,0.01890558314790544,-4.973877618691282,3.486165447019755,3.4217805189174104,0.006868770960509112,0.17478358815635459,0.18426536627377393,0.873699040992638
60,0.018597243872545462,-5.00521237709591,3.5053370004764406,3.442000130858716,0.006658287696742047,0.17318619370064023,0.18244411167703936,0.8745853843806545
61,0.0182981118367988,-5.0360203076418575,3.524208688234339,3.4618892685125164,0.006457591653596355,0.17162827664068922,0.1806704664241835,0.8754551084101181
62,0.01800779913410802,-5.06631795326062,3.5427893743750016,3.4814579777163064,0.006266083559752043,0.17010829177918355,0.17894250579898477,0.8763086911324018
63,0.017725938537405374,-5.096121112618966,3.5610875396887502,3.500715872001237,0.006083209160046992,0.1686247758996729,0.17725840732076178,0.8771465929422474
64,0.017452182186952804,-5.1254448831498385,3.579111303723418,3.5196721559289514,0.005908455240403188,0.1671763422831155,0.1756164441881415,0.8779692573298559
65,0.01718620037339211,-5.154303701069878,3.5968684452176714,3.538335646969459,0.0057413460537325935,0.16576167566875874,0.17401497920202558,0.8787771115997743
66,0.016927680408328313,-5.182711378629909,3.614366421065869,3.556714796017855,0.005581440101555291,0.1643795276167974,0.1724524591298218,0.8795705675578059
67,0.016676325575443178,-5.210681138821831,3.631612383945208,3.5748177066414955,0.0054283272316940035,0.1630287122349791,0.1709274094760554,0.880350022167176
68,0.016431854155746904,-5.238225647744789,3.648613198721821,3.592652153143258,0.005281626017277915,0.16170810223546087,0.16943842962730613,0.8811158581751733
69,0.016193998521125436,-5.265357044815044,3.6653754577401543,3.610225597520809,0.005140981386506186,0.16041662529183787,0.1679841883420422,0.8818684447114791
70,0.015962504290846037,-5.292086970987414,3.6819054950892087,3.6275452053963635,0.005006062476281308,0.15915326066943725,0.1665634195583349,0.8826081378593632
71,0.015737129546137853,-5.318426595141278,3.6982093999297363,3.6446178609862927,0.004876560686004676,0.15791703610476282,0.16517491849467042,0.883335281200919
72,0.015517644098377003,-5.344386638770683,3.714293028958171,3.661450181175117,0.004752187910598107,0.15670702491243704,0.16381753802111995,0.8840502063374628
73,0.01530382880678444,-5.369977399106041,3.7301620180756987,3.6780485287538784,0.0046326749342332505,0.15552234330015874,0.16249018528000658,0.884753233386203
74,0.015095474941883315,-5.395208770783945,3.7458217933243634,3.6944190248786666,0.004517769968364322,0.15436214787412456,0.16119181853693354,0.8854446714542477
75,0.014892383591278228,-5.42009026617177,3.7612775811463193,3.7105675608011093,0.004407237319509746,0.153225633319067,0.1599214442446126,0.8861248190909791
76,0.014694365104598489,-5.444631034444802,3.776534418017196,3.726499808918973,0.0043008561738507875,0.15211203023858338,0.15867811430337697,0.8867939647197941
77,0.0145012385747083,-5.468839879505515,3.791597159499949,3.7422212331915823,0.004198419487140255,0.1510206031427835,0.15746092350358562,0.8874523870501677
78,0.014312831352521248,-5.492725276827287,3.806470488761471,3.7577370989615964,0.00409973296966779,0.14995064857149082,0.15626900713633102,0.8881003554709592
79,0.014128978592971526,-5.516295389298158,3.821158924590549,3.773052482221728,0.00400461415713265,0.14890149334231495,0.15510153875997357,0.8887381304258472
80,0.013949522829891096,-5.539558082134181,3.8356668289524736,3.7881722783622576,0.003912891559249138,0.1478724929138764,0.15395772811102754,0.8893659637717366
81,0.01377431357772012,-5.5625209369264015,3.8499984141126196,3.803101210432652,0.0038244038787708825,0.1468630298553383,0.15283681914885727,0.8899840991209506
82,0.013603206958142674,-5.585191264880433,3.8641577493586436,3.817843836948262,0.0037389992943819505,0.14587251241417598,0.1517380882244804,0.8905927721679785
83,0.013436065349888726,-5.607576119303058,3.8781487673485397,3.832404559270883,0.0036565348015778023,0.14490037317482002,0.15066084236455146,0.8911922110015242
84,0.013272757060080673,-5.629682307386065,3.891975270109592,3.84678762858996,0.003576875606258062,0.14394606780143987,0.1496044176623042,0.8917826364025534
85,0.013113156015628126,-5.651516401333716,3.9056409347112906,3.860997152529347,0.0034998945662853315,0.1430090738587076,0.14856817776788026,0.8923642621290181
86,0.012957141473290036,-5.673084748876735,3.9191493186334783,3.8750371014028078,0.003425471676737663,0.14208888970489802,0.1475515124710622,0.892937295187898
87,0.012804597747126889,-5.694393483212517,3.932503864849363,3.888911314139848,0.0033534935950041275,0.1411850334521493,0.14655383636997357,0.8935019360951678
88,0.012655413952164258,-5.715448532408306,3.9457079066415313,3.9026235039019825,0.0032838532022490606,0.14029704198912885,0.14557458761980177,0.8940583791242708
89,0.012509483763176546,-5.7362556283014,3.9587646721677587,3.916177263408178,0.0032164491981066146,0.1394244700617418,0.14461322675606222,0.8946068125436559
90,0.012366705187580741,-5.756820314927986,3.9716772887921556,3.92957606998694,0.003151185725767463,0.13856688940785944,0.1436692355873314,0.8951474188438993
91,0.012226980351506227,-5.777147956509928,3.9844487871960657,3.9428232903713285,0.0030879720248884936,0.13772388794236867,0.14274211615276486,0.8956803749549115
92,0.01209021529817346,-5.797243745026736,3.9970821052820926,3.955922185252112,0.003026722109997292,0.1368950689891332,0.14183138974006773,0.8962058524537069
93,0.01195631979777939,-5.817112707398038,4.009580091883681,3.9688759136032457,0.0029673544722793707,0.13608005055671843,0.14093659595990604,0.8967240177631862
94,0.011825207168144307,-5.836759712300106,4.021945510291802,3.981687536792927,0.00290979180283033,0.13527846465497534,0.1400572918730456,0.8972350323423602
95,0.011696794105428817,-5.856189476638345,4.034181041609493,3.9943600224926104,0.0028539607356297984,0.13448995664979851,0.13919305116677724,0.8977390528684235
96,0.011571000524279828,-5.875406571696181,4.046289287944265,4.006896248395562,0.0027997916086510677,0.13371418465357274,0.13834346337743733,0.8982362314110647
97,0.011447749406807917,-5.894415428979343,4.058272775447707,4.019299005755778,0.002747218241662177,0.13295081894901195,0.13750813315606594,0.898726715599381
98,0.011326966659842973,-5.913220345773332,4.0701339572110005,4.031571002757397,0.002696177729401756,0.13219954144425677,0.13668667957445366,0.8992106487817466
99,0.011208580979951118,-5.931825490430583,4.081875216024473,4.043714867724097,0.0026466102489285416,0.13146004515725965,0.1358787354690301,0.8996881701789691
100,0.01109252372573467,-5.95023490740286,4.093498867008764,4.055733152177342,0.0025984588800474734,0.13073203372761819,0.1350839468202156,0.9001594150310401
101,0.01097872879696621,-5.968452522033258,4.105007160124734,4.067628333751838,0.0025516694378099765,0.13001522095416346,0.13430197216504258,0.900624514737794
102,0.010867132520142417,-5.9864821451213865,4.116402282568748,4.0794028189759555,0.0025061903161711294,0.12930933035671272,0.13353248204098703,0.9010835969937433
103,0.010757673540068768,-6.004327477274352,4.12768636105954,4.091058945924481,0.002461972341964123,0.1286140947605226,0.13277515845910734,0.9015367859173735
104,0.01065029271711252,-6.021992113055366,4.138861464022518,4.102598986750544,0.0024189686384225397,0.1279292559020706,0.13202969440471063,0.9019842021751456
